"location_name","TL","TR","spatial_scale","sCh","cCh","deaths","phantom","pop","outbreak_UID","threshold","rural_urban"
"ULUX",2010-04-05,2010-04-11,"country",49,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-04-12,2010-04-18,"country",182,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-04-19,2010-04-25,"country",195,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-04-26,2010-05-02,"country",134,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-05-03,2010-05-09,"country",74,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-05-10,2010-05-16,"country",42,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-05-17,2010-05-23,"country",25,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-05-24,2010-05-30,"country",32,NA,NA,FALSE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-05-31,2010-06-06,"country",0,NA,NA,TRUE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2010-06-07,2010-06-13,"country",0,NA,NA,TRUE,23290543.4083548,"ULUX-2010-04-05-2010-06-13",4.04701230250403e-07,"rural"
"ULUX",2011-01-10,2011-01-16,"country",20,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-01-17,2011-01-23,"country",38,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-01-24,2011-01-30,"country",107,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-01-31,2011-02-06,"country",42,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-02-07,2011-02-13,"country",36,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-02-14,2011-02-20,"country",24,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-02-21,2011-02-27,"country",20,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-02-28,2011-03-06,"country",4,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-03-07,2011-03-13,"country",16,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-03-14,2011-03-20,"country",7,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2011-03-21,2011-03-27,"country",3,NA,NA,FALSE,24177013.7911852,"ULUX-2011-01-10-2011-03-27",4.04701230250403e-07,"rural"
"ULUX",2013-02-04,2013-02-10,"country",14,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-02-11,2013-02-17,"country",16,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-02-18,2013-02-24,"country",100,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-02-25,2013-03-03,"country",145,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-03-04,2013-03-10,"country",49,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-03-11,2013-03-17,"country",52,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-03-18,2013-03-24,"country",95,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-03-25,2013-03-31,"country",46,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
"ULUX",2013-04-01,2013-04-07,"country",37,NA,NA,FALSE,26050981.5699894,"ULUX-2013-02-04-2013-12-01",4.04701230250403e-07,"rural"
